埋点坐标代码(必填),客户端代码(必填),事件类型(必填),目标类型(必填),一级菜单(必填),二级菜单,三级菜单,四级菜单,功能名称,功能代码,说明,埋点方,新增修改版本,业务类型(biztype),优先级,
9_1_1165,9_1_0000,aac,button,云小智,,,,a1：点击云小智头像进入,,,交互,2.52.0,,,"=DISPIMG(""ID_A52FF9736BC940678B689566D7021E11"",1)"
9_1_1166,9_1_0000,aac,page,云小智,智能体选择页面,,,a1：进入页面、全屏、缩小、关闭云小智、智慧巡查卡片、AI 试用卡片、员工培训助手卡片、数据分析卡片、sop 生成卡片,,,交互,2.52.0,,,"=DISPIMG(""ID_04A4448E974844EDA2EFE61346255938"",1)"
9_1_1167,9_1_0000,aac,page,云小智,框架,左侧菜单,功能导航,a1：智慧巡查、数据分析、sop 生成、员工培训助手、ai 试用,,,交互,2.52.0,,,"=DISPIMG(""ID_B9B4A8D8257A4DF9AD206B5A665E0A89"",1)"
9_1_1168,9_1_0000,aac,page,云小智,框架,左侧菜单,对话列表,"a1：新建对话按钮、单个对话记录、记录操作-置顶、记录操作-取消置顶、记录操作-重命名、记录操作-删除
a2：智慧巡查、数据分析、员工培训助手、sop 生成、ai 试用",,,交互,2.52.0,,,"=DISPIMG(""ID_5CFE1187447C43438446273B9F1D1CC0"",1)"
9_1_1169,9_1_0000,aac,page,云小智,框架,对话页面,顶部操作栏,a1：展开导航、收起导航、新建对话、重命名、放大、缩小、退出,,,交互,2.52.0,,,"=DISPIMG(""ID_337AA837B74C42CF8A4FC7C17F717169"",1)"
9_1_1170,9_1_0000,aac,page,云小智,框架,对话页面,输入框," a1：语音开启、语音关闭、发送、附件-图、附件-视频、附件-抓图
a2：智慧巡查、数据分析、员工培训助手、sop 生成、ai 试用",,,交互,2.52.0,,,"=DISPIMG(""ID_1265D4F00B6645B6A7042D5E708DA92E"",1)"
9_1_1171,9_1_0000,aac,page,云小智,框架,对话页面,反馈, a1：发送语-复制（蓝色气泡）、回复语-重试、回复语-复制、回复语-点赞、回复语-取消点赞、回复语-点踩、回复语-取消点踩,,,交互,2.52.0,,,"=DISPIMG(""ID_0EF4F512489B4574A66BEBCBEBE8FC70"",1)"
9_1_1172,9_1_0000,aac,page,云小智,智慧巡查,对话卡片,, a1：巡检范围、巡检时间修改、巡检时间添加、门店整改推送开关-开启、门店整改推送开关-关闭、确认执行按钮、取消计划按钮,,,交互,2.52.0,,,"=DISPIMG(""ID_3158517E879B4BC6B989F2177D3C5D96"",1)"
9_1_1173,9_1_0000,aac,page,云小智, 员工培训助手,对话卡片,, a1：学习项目修改、培训学员调整、确认执行卡片,,,交互,2.52.0,,,"=DISPIMG(""ID_5D2C91E132D54308B77C8A3004B255E5"",1)"
9_1_1174,9_1_0000,aac,page,云小智,  AI 试用,首页,, a1：添加图片、添加视频、添加视频截图,,,交互,2.52.0,,,"=DISPIMG(""ID_11595C74E33649F9941F38F0AA55889C"",1)"
9_1_1175,9_1_0000,aac,page,云小智, 智慧巡查,意图引导,, a1：意图引导快捷语,,,交互,2.52.0,,,"=DISPIMG(""ID_65EC6083B5284E109F4D8884036138E0"",1)"
